,Rendement Annuel (%),Volatilité (%),Sharpe Ratio,Skewness,Kurtosis,Min Return (%),Max Return (%),Secteur
GOOGL,19.732563071660138,31.93273231008224,0.5553099214770724,-0.22858801499411838,3.996247041803103,-12.368463944877558,9.734769489632036,Communication Services
META,19.909481089137078,44.57984400080342,0.40173942934421913,-1.2491128675236014,24.063859630183526,-30.63906427232721,20.930744664275704,Communication Services
DIS,-5.2874833666490515,33.30860481754372,-0.21878680919144106,-0.0108219396292722,8.614388495761995,-14.113922552211505,13.463849611042328,Communication Services
NFLX,19.212813396330557,46.01821354410252,0.37404349431848977,-2.681461354397387,43.98985079360953,-43.25784894950876,15.575799657363183,Communication Services
VZ,-2.8455832667844834,21.01452981405137,-0.23058252122036452,0.03493952158124964,6.773349992899865,-7.793761464445488,8.865579338968919,Communication Services
T,2.44231867683547,26.158644734312595,0.016909082306365654,-0.29069697716981724,7.807489467172353,-10.988308436875625,9.551346018781638,Communication Services
TMUS,20.32419284341566,26.87301037187199,0.6818809128505979,0.032199907023955934,9.345171333171898,-11.888225134337036,11.138750466016683,Communication Services
CMCSA,-1.2559309498137523,28.175916538953295,-0.11555723290535794,-0.2844023850869721,6.396447462433185,-9.983961924499175,11.835532745567031,Communication Services
CHTR,-6.922712602766144,34.65995684631334,-0.2574357678034796,-0.874970217223394,12.336654324793006,-18.04610888859565,15.374721671201419,Communication Services
EA,6.434861672514088,25.58331404745699,0.17334977260129117,-0.325020251037967,6.0592378720505415,-9.720792378667706,10.133626712627661,Communication Services
TTWO,7.936722088273126,33.99328365122855,0.17464397229711484,-0.5791861520283758,6.853283118570289,-14.711828705556822,11.135469366218105,Communication Services
AMZN,16.194904026424233,35.30491625673602,0.40206593107881705,-0.132838389631707,4.35337615082139,-15.139791287665307,12.694891576845722,Consumer Discretionary
TSLA,51.10883260135388,65.78264587063143,0.7465317326690024,-0.10849062100513118,3.4695213722890927,-23.65178944576766,19.818699146920753,Consumer Discretionary
HD,13.37222999994484,28.67069310846008,0.3966499852976749,-1.5814644820232309,22.906523903855277,-22.056982593908508,12.884001562757675,Consumer Discretionary
LOW,15.595581378197199,32.626885076236576,0.41669872396428637,-2.222281671546848,32.94296618708372,-28.461207490867757,13.11317280641251,Consumer Discretionary
MCD,9.33412375637961,22.993862862768395,0.3189600546959426,-0.33856883415500205,34.649114241833935,-17.287031244892383,16.657679289297313,Consumer Discretionary
SBUX,2.4707717349052585,33.13240753104175,0.014208799480212603,0.3462836079957958,20.553888757404017,-17.678716345233987,21.911108892999305,Consumer Discretionary
NKE,-4.6967057682855335,34.40103891654311,-0.19466580019666663,-0.8664332655738931,15.827923815361178,-22.290481132877606,14.437241470280346,Consumer Discretionary
TGT,3.583633957896771,35.93160052484272,0.044073571306734956,-2.2276115992255647,35.01393996415215,-28.6753632962297,16.343025190288515,Consumer Discretionary
BKNG,17.048083030300777,36.56366454862279,0.4115583931771845,-0.03894245044461648,6.021668066740599,-11.92051160129378,17.18677222557164,Consumer Discretionary
MAR,12.387665696003012,38.769593182403725,0.26793331689427274,0.1328787337523163,8.391398580258276,-16.477305511323614,17.799569983895644,Consumer Discretionary
HLT,15.61807684959215,33.2475101145899,0.40959689320061815,-0.1659897003378855,5.789184203118413,-13.434716117889936,13.147339207908407,Consumer Discretionary
MGM,0.7218202455368292,54.838489453841355,-0.023308077359407212,-1.1878666896555605,25.18431421137004,-40.96840460272717,28.60417460898462,Consumer Discretionary
ROST,5.917165748632573,37.41298148716501,0.10470071063372495,-1.1144174262161797,21.690371678778646,-25.45094888507248,15.382562447477921,Consumer Discretionary
TJX,14.25077649593689,31.029785503036976,0.3948069990602375,-0.9631122376697456,19.549530920219993,-22.81490736983412,12.136082871558793,Consumer Discretionary
GM,7.572787755342353,42.405924787958746,0.13141531008244295,-0.24886249400748472,6.170140600828555,-19.022681783682398,18.1847838022875,Consumer Discretionary
F,5.240270177577062,43.72078111014096,0.07411281535465264,-0.21577657785698987,6.938006962695045,-20.286774043667794,21.05960740610214,Consumer Discretionary
ULTA,10.352248691290663,40.708955906985544,0.2051698085889115,-0.4231848487306407,18.665780113829495,-24.825584609464112,21.49559185657539,Consumer Discretionary
ORLY,19.26815361109388,27.34735356685819,0.6314378306799263,-1.2716351943237834,17.24946065358802,-16.75288835793802,12.117029769837435,Consumer Discretionary
AZO,19.13269082709937,28.028808423329078,0.611252914085331,-1.3533271950630335,15.593791745611451,-17.360506182752435,11.138066306860907,Consumer Discretionary
PVH,0.20846738367266363,56.08604461065777,-0.03194257375010003,-0.15625376771247335,9.647183350981345,-25.130414060473978,24.79383759062032,Consumer Discretionary
TPR,19.48535715306243,50.2683061481551,0.3478405876961137,-0.8010777692347861,17.978287841002185,-34.62549423645761,25.98892238345471,Consumer Discretionary
CCL,-13.732671954544676,73.8974578257328,-0.21289868985271365,-0.9858245149578831,12.883178325993839,-40.318977838962304,33.139426447645334,Consumer Discretionary
RCL,10.685330514342061,65.98091179325056,0.13163398744105437,-0.6971330133286913,12.756868731074004,-38.24065784966543,25.29822965772299,Consumer Discretionary
EBAY,11.999458079533387,32.31520108663966,0.3094351185599629,-0.41864530491701746,3.5466133566634848,-12.469759566038757,9.604935850182162,Consumer Discretionary
LULU,9.539938160329493,40.93946570713361,0.1841728520412927,-0.7607438780254651,10.93339780300817,-24.040629763205366,14.747052843973641,Consumer Discretionary
PG,8.305716710571955,20.537100855885456,0.3070402563059374,-0.11673614966852362,12.50031102715996,-9.14286257579945,11.340933575655116,Consumer Staples
KO,5.394767666688395,20.52070014170789,0.16543137628080246,-0.868753402228139,9.630450797213497,-10.172779545902268,6.2782912638987876,Consumer Staples
PEP,4.960673392753858,21.688365122961187,0.13650975423774253,-0.6439557554602101,22.21414157021025,-12.135828792911292,12.165657075537542,Consumer Staples
WMT,17.366877588761014,22.169438615566598,0.6931559186154104,-0.2721276897076262,14.968417996056587,-12.076478469824442,11.072298519639576,Consumer Staples
COST,23.764943306014537,23.73336354256523,0.9170610506589015,-0.3745057643223126,9.672735320866988,-13.297514314295594,9.494153296564873,Consumer Staples
MO,9.067159693460283,24.193214593564726,0.29211329755823817,-0.9761623690086909,9.183277869073436,-10.569030810586346,9.55096999006162,Consumer Staples
